StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID
NA,conif_1_to_mixt_1 [Type],0,0,19
NA,conif_2_to_mixt_1 [Type],0,0,19
NA,conif_3_to_mixt_1 [Type],0,0,19
NA,decid_1_to_mixt_2 [Type],0,0,19
NA,decid_2_to_mixt_2 [Type],0,0,19
NA,decid_3_to_mixt_2 [Type],0,0,19
NA,mixt_1_to_mixt_2 [Type],0,0,19
NA,mixt_3_to_mixt_2 [Type],0,0,19
NA,conif_1_to_mixt_2 [Type],0,0,19
NA,conif_2_to_mixt_2 [Type],0,0,19
NA,conif_3_to_mixt_2 [Type],0,0,19
NA,decid_1_to_mixt_3 [Type],0,0,19
NA,decid_2_to_mixt_3 [Type],0,0,19
NA,decid_3_to_mixt_3 [Type],0,0,19
NA,mixt_1_to_mixt_3 [Type],0,0,19
NA,mixt_2_to_mixt_3 [Type],0,0,19
NA,conif_1_to_mixt_3 [Type],0,0,19
NA,conif_2_to_mixt_3 [Type],0,0,19
NA,conif_3_to_mixt_3 [Type],0,0,19
NA,decid_1_to_conif_1 [Type],0,0,19
NA,decid_2_to_conif_1 [Type],0,0,19
NA,decid_3_to_conif_1 [Type],0,0,19
NA,mixt_1_to_conif_1 [Type],0,0,19
NA,mixt_2_to_conif_1 [Type],0,0,19
NA,mixt_3_to_conif_1 [Type],0,0,19
NA,conif_2_to_conif_1 [Type],0,0,19
NA,conif_3_to_conif_1 [Type],0,0,19
NA,decid_1_to_conif_2 [Type],0,0,19
NA,decid_2_to_conif_2 [Type],0,0,19
NA,decid_3_to_conif_2 [Type],0,0,19
NA,mixt_1_to_conif_2 [Type],0,0,19
NA,mixt_2_to_conif_2 [Type],0,0,19
NA,mixt_3_to_conif_2 [Type],0,0,19
NA,conif_1_to_conif_2 [Type],0,0,19
NA,conif_3_to_conif_2 [Type],0,0,19
NA,decid_1_to_conif_3 [Type],0,0,19
NA,decid_2_to_conif_3 [Type],0,0,19
NA,decid_3_to_conif_3 [Type],0,0,19
NA,mixt_1_to_conif_3 [Type],0,0,19
NA,mixt_2_to_conif_3 [Type],0,0,19
NA,mixt_3_to_conif_3 [Type],0,0,19
NA,conif_1_to_conif_3 [Type],0,0,19
NA,conif_2_to_conif_3 [Type],0,0,19
NA,decid_2_to_decid_1 [Type],0,0,20
NA,decid_3_to_decid_1 [Type],0,0,20
NA,mixt_1_to_decid_1 [Type],0,0,20
NA,mixt_2_to_decid_1 [Type],0,0,20
NA,mixt_3_to_decid_1 [Type],0,0,20
NA,conif_1_to_decid_1 [Type],0,0,20
NA,conif_2_to_decid_1 [Type],0,0,20
NA,conif_3_to_decid_1 [Type],0,0,20
NA,decid_1_to_decid_2 [Type],0,0,20
NA,decid_3_to_decid_2 [Type],0,0,20
NA,mixt_1_to_decid_2 [Type],0,0,20
NA,mixt_2_to_decid_2 [Type],0,0,20
NA,mixt_3_to_decid_2 [Type],0,0,20
NA,conif_1_to_decid_2 [Type],0,0,20
NA,conif_2_to_decid_2 [Type],0,0,20
NA,conif_3_to_decid_2 [Type],0,0,20
NA,decid_1_to_decid_3 [Type],0,0,20
NA,decid_2_to_decid_3 [Type],0,0,20
NA,mixt_1_to_decid_3 [Type],0,0,20
NA,mixt_2_to_decid_3 [Type],0,0,20
NA,mixt_3_to_decid_3 [Type],0,0,20
NA,conif_1_to_decid_3 [Type],0,0,20
NA,conif_2_to_decid_3 [Type],0,0,20
NA,conif_3_to_decid_3 [Type],0,0,20
NA,decid_1_to_mixt_1 [Type],0,0,20
NA,decid_2_to_mixt_1 [Type],0,0,20
NA,decid_3_to_mixt_1 [Type],0,0,20
NA,mixt_2_to_mixt_1 [Type],0,0,20
NA,mixt_3_to_mixt_1 [Type],0,0,20
NA,conif_1_to_mixt_1 [Type],0,0,20
NA,conif_2_to_mixt_1 [Type],0,0,20
NA,conif_3_to_mixt_1 [Type],0,0,20
NA,decid_1_to_mixt_2 [Type],0,0,20
NA,decid_2_to_mixt_2 [Type],0,0,20
NA,decid_3_to_mixt_2 [Type],0,0,20
NA,mixt_1_to_mixt_2 [Type],0,0,20
NA,mixt_3_to_mixt_2 [Type],0,0,20
NA,conif_1_to_mixt_2 [Type],0,0,20
NA,conif_2_to_mixt_2 [Type],0,0,20
NA,conif_3_to_mixt_2 [Type],0,0,20
NA,decid_1_to_mixt_3 [Type],0,0,20
NA,decid_2_to_mixt_3 [Type],0,0,20
NA,decid_3_to_mixt_3 [Type],0,0,20
NA,mixt_1_to_mixt_3 [Type],0,0,20
NA,mixt_2_to_mixt_3 [Type],0,0,20
NA,conif_1_to_mixt_3 [Type],0,0,20
NA,conif_2_to_mixt_3 [Type],0,0,20
NA,conif_3_to_mixt_3 [Type],0,0,20
NA,decid_1_to_conif_1 [Type],0,0,20
NA,decid_2_to_conif_1 [Type],0,0,20
NA,decid_3_to_conif_1 [Type],0,0,20
NA,mixt_1_to_conif_1 [Type],0,0,20
NA,mixt_2_to_conif_1 [Type],0,0,20
NA,mixt_3_to_conif_1 [Type],0,0,20
NA,conif_2_to_conif_1 [Type],0,0,20
NA,conif_3_to_conif_1 [Type],0,0,20
NA,decid_1_to_conif_2 [Type],0,0,20
NA,decid_2_to_conif_2 [Type],0,0,20
NA,decid_3_to_conif_2 [Type],0,0,20
NA,mixt_1_to_conif_2 [Type],0,0,20
NA,mixt_2_to_conif_2 [Type],0,0,20
NA,mixt_3_to_conif_2 [Type],0,0,20
NA,conif_1_to_conif_2 [Type],0,0,20
NA,conif_3_to_conif_2 [Type],0,0,20
NA,decid_1_to_conif_3 [Type],0,0,20
NA,decid_2_to_conif_3 [Type],0,0,20
NA,decid_3_to_conif_3 [Type],0,0,20
NA,mixt_1_to_conif_3 [Type],0,0,20
NA,mixt_2_to_conif_3 [Type],0,0,20
NA,mixt_3_to_conif_3 [Type],0,0,20
NA,conif_1_to_conif_3 [Type],0,0,20
NA,conif_2_to_conif_3 [Type],0,0,20
NA,decid_2_to_decid_1 [Type],0,0,21
NA,decid_3_to_decid_1 [Type],0,0,21
NA,mixt_1_to_decid_1 [Type],0,0,21
NA,mixt_2_to_decid_1 [Type],0,0,21
NA,mixt_3_to_decid_1 [Type],0,0,21
NA,conif_1_to_decid_1 [Type],0,0,21
NA,conif_2_to_decid_1 [Type],0,0,21
NA,conif_3_to_decid_1 [Type],0,0,21
NA,decid_1_to_decid_2 [Type],0,0,21
NA,decid_3_to_decid_2 [Type],0,0,21
NA,mixt_1_to_decid_2 [Type],0,0,21
NA,mixt_2_to_decid_2 [Type],0,0,21
NA,mixt_3_to_decid_2 [Type],0,0,21
NA,conif_1_to_decid_2 [Type],0,0,21
NA,conif_2_to_decid_2 [Type],0,0,21
NA,conif_3_to_decid_2 [Type],0,0,21
NA,decid_1_to_decid_3 [Type],0,0,21
NA,decid_2_to_decid_3 [Type],0,0,21
NA,mixt_1_to_decid_3 [Type],0,0,21
NA,mixt_2_to_decid_3 [Type],0,0,21
NA,mixt_3_to_decid_3 [Type],0,0,21
NA,conif_1_to_decid_3 [Type],0,0,21
NA,conif_2_to_decid_3 [Type],0,0,21
NA,conif_3_to_decid_3 [Type],0,0,21
NA,decid_1_to_mixt_1 [Type],0,0,21
NA,decid_2_to_mixt_1 [Type],0,0,21
NA,decid_3_to_mixt_1 [Type],0,0,21
NA,mixt_2_to_mixt_1 [Type],0,0,21
NA,mixt_3_to_mixt_1 [Type],0,0,21
NA,conif_1_to_mixt_1 [Type],0,0,21
NA,conif_2_to_mixt_1 [Type],0,0,21
NA,conif_3_to_mixt_1 [Type],0,0,21
NA,decid_1_to_mixt_2 [Type],0,0,21
NA,decid_2_to_mixt_2 [Type],0,0,21
NA,decid_3_to_mixt_2 [Type],0,0,21
NA,mixt_1_to_mixt_2 [Type],0,0,21
NA,mixt_3_to_mixt_2 [Type],0,0,21
NA,conif_1_to_mixt_2 [Type],0,0,21
NA,conif_2_to_mixt_2 [Type],0,0,21
NA,conif_3_to_mixt_2 [Type],0,0,21
NA,decid_1_to_mixt_3 [Type],0,0,21
NA,decid_2_to_mixt_3 [Type],0,0,21
NA,decid_3_to_mixt_3 [Type],0,0,21
NA,mixt_1_to_mixt_3 [Type],0,0,21
NA,mixt_2_to_mixt_3 [Type],0,0,21
NA,conif_1_to_mixt_3 [Type],0,0,21
NA,conif_2_to_mixt_3 [Type],0,0,21
NA,conif_3_to_mixt_3 [Type],0,0,21
NA,decid_1_to_conif_1 [Type],0,0,21
NA,decid_2_to_conif_1 [Type],0,0,21
NA,decid_3_to_conif_1 [Type],0,0,21
NA,mixt_1_to_conif_1 [Type],0,0,21
NA,mixt_2_to_conif_1 [Type],0,0,21
NA,mixt_3_to_conif_1 [Type],0,0,21
NA,conif_2_to_conif_1 [Type],0,0,21
NA,conif_3_to_conif_1 [Type],0,0,21
NA,decid_1_to_conif_2 [Type],0,0,21
NA,decid_2_to_conif_2 [Type],0,0,21
NA,decid_3_to_conif_2 [Type],0,0,21
NA,mixt_1_to_conif_2 [Type],0,0,21
NA,mixt_2_to_conif_2 [Type],0,0,21
NA,mixt_3_to_conif_2 [Type],0,0,21
NA,conif_1_to_conif_2 [Type],0,0,21
NA,conif_3_to_conif_2 [Type],0,0,21
NA,decid_1_to_conif_3 [Type],0,0,21
NA,decid_2_to_conif_3 [Type],0,0,21
NA,decid_3_to_conif_3 [Type],0,0,21
NA,mixt_1_to_conif_3 [Type],0,0,21
NA,mixt_2_to_conif_3 [Type],0,0,21
NA,mixt_3_to_conif_3 [Type],0,0,21
NA,conif_1_to_conif_3 [Type],0,0,21
NA,conif_2_to_conif_3 [Type],0,0,21
NA,decid_2_to_decid_1 [Type],0,0,22
NA,decid_3_to_decid_1 [Type],0,0,22
NA,mixt_1_to_decid_1 [Type],0,0,22
NA,mixt_2_to_decid_1 [Type],0,0,22
NA,mixt_3_to_decid_1 [Type],0,0,22
NA,conif_1_to_decid_1 [Type],0,0,22
NA,conif_2_to_decid_1 [Type],0,0,22
NA,conif_3_to_decid_1 [Type],0,0,22
NA,decid_1_to_decid_2 [Type],0,0,22
NA,decid_3_to_decid_2 [Type],0,0,22
NA,mixt_1_to_decid_2 [Type],0,0,22
NA,mixt_2_to_decid_2 [Type],0,0,22
NA,mixt_3_to_decid_2 [Type],0,0,22
NA,conif_1_to_decid_2 [Type],0,0,22
NA,conif_2_to_decid_2 [Type],0,0,22
NA,conif_3_to_decid_2 [Type],0,0,22
NA,decid_1_to_decid_3 [Type],0,0,22
NA,decid_2_to_decid_3 [Type],0,0,22
NA,mixt_1_to_decid_3 [Type],0,0,22
NA,mixt_2_to_decid_3 [Type],0,0,22
NA,mixt_3_to_decid_3 [Type],0,0,22
NA,conif_1_to_decid_3 [Type],0,0,22
NA,conif_2_to_decid_3 [Type],0,0,22
NA,conif_3_to_decid_3 [Type],0,0,22
NA,decid_1_to_mixt_1 [Type],0,0,22
NA,decid_2_to_mixt_1 [Type],0,0,22
NA,decid_3_to_mixt_1 [Type],0,0,22
NA,mixt_2_to_mixt_1 [Type],0,0,22
NA,mixt_3_to_mixt_1 [Type],0,0,22
NA,conif_1_to_mixt_1 [Type],0,0,22
NA,conif_2_to_mixt_1 [Type],0,0,22
NA,conif_3_to_mixt_1 [Type],0,0,22
NA,decid_1_to_mixt_2 [Type],0,0,22
NA,decid_2_to_mixt_2 [Type],0,0,22
NA,decid_3_to_mixt_2 [Type],0,0,22
NA,mixt_1_to_mixt_2 [Type],0,0,22
NA,mixt_3_to_mixt_2 [Type],0,0,22
NA,conif_1_to_mixt_2 [Type],0,0,22
NA,conif_2_to_mixt_2 [Type],0,0,22
NA,conif_3_to_mixt_2 [Type],0,0,22
NA,decid_1_to_mixt_3 [Type],0,0,22
NA,decid_2_to_mixt_3 [Type],0,0,22
NA,decid_3_to_mixt_3 [Type],0,0,22
NA,mixt_1_to_mixt_3 [Type],0,0,22
NA,mixt_2_to_mixt_3 [Type],0,0,22
NA,conif_1_to_mixt_3 [Type],0,0,22
NA,conif_2_to_mixt_3 [Type],0,0,22
NA,conif_3_to_mixt_3 [Type],0,0,22
NA,decid_1_to_conif_1 [Type],0,0,22
NA,decid_2_to_conif_1 [Type],0,0,22
NA,decid_3_to_conif_1 [Type],0,0,22
NA,mixt_1_to_conif_1 [Type],0,0,22
NA,mixt_2_to_conif_1 [Type],0,0,22
NA,mixt_3_to_conif_1 [Type],0,0,22
NA,conif_2_to_conif_1 [Type],0,0,22
NA,conif_3_to_conif_1 [Type],0,0,22
NA,decid_1_to_conif_2 [Type],0,0,22
NA,decid_2_to_conif_2 [Type],0,0,22
NA,decid_3_to_conif_2 [Type],0,0,22
NA,mixt_1_to_conif_2 [Type],0,0,22
NA,mixt_2_to_conif_2 [Type],0,0,22
NA,mixt_3_to_conif_2 [Type],0,0,22
NA,conif_1_to_conif_2 [Type],0,0,22
NA,conif_3_to_conif_2 [Type],0,0,22
NA,decid_1_to_conif_3 [Type],0,0,22
NA,decid_2_to_conif_3 [Type],0,0,22
NA,decid_3_to_conif_3 [Type],0,0,22
NA,mixt_1_to_conif_3 [Type],0,0,22
NA,mixt_2_to_conif_3 [Type],0,0,22
NA,mixt_3_to_conif_3 [Type],0,0,22
NA,conif_1_to_conif_3 [Type],0,0,22
NA,conif_2_to_conif_3 [Type],0,0,22
NA,decid_2_to_decid_1 [Type],0,0,23
NA,decid_3_to_decid_1 [Type],0,0,23
NA,mixt_1_to_decid_1 [Type],0,0,23
NA,mixt_2_to_decid_1 [Type],0,0,23
NA,mixt_3_to_decid_1 [Type],0,0,23
NA,conif_1_to_decid_1 [Type],0,0,23
NA,conif_2_to_decid_1 [Type],0,0,23
NA,conif_3_to_decid_1 [Type],0,0,23
NA,decid_1_to_decid_2 [Type],0,0,23
NA,decid_3_to_decid_2 [Type],0,0,23
NA,mixt_1_to_decid_2 [Type],0,0,23
NA,mixt_2_to_decid_2 [Type],0,0,23
NA,mixt_3_to_decid_2 [Type],0,0,23
NA,conif_1_to_decid_2 [Type],0,0,23
NA,conif_2_to_decid_2 [Type],0,0,23
NA,conif_3_to_decid_2 [Type],0,0,23
NA,decid_1_to_decid_3 [Type],0,0,23
NA,decid_2_to_decid_3 [Type],0,0,23
NA,mixt_1_to_decid_3 [Type],0,0,23
NA,mixt_2_to_decid_3 [Type],0,0,23
NA,mixt_3_to_decid_3 [Type],0,0,23
NA,conif_1_to_decid_3 [Type],0,0,23
NA,conif_2_to_decid_3 [Type],0,0,23
NA,conif_3_to_decid_3 [Type],0,0,23
NA,decid_1_to_mixt_1 [Type],0,0,23
NA,decid_2_to_mixt_1 [Type],0,0,23
NA,decid_3_to_mixt_1 [Type],0,0,23
NA,mixt_2_to_mixt_1 [Type],0,0,23
NA,mixt_3_to_mixt_1 [Type],0,0,23
NA,conif_1_to_mixt_1 [Type],0,0,23
NA,conif_2_to_mixt_1 [Type],0,0,23
NA,conif_3_to_mixt_1 [Type],0,0,23
NA,decid_1_to_mixt_2 [Type],0,0,23
NA,decid_2_to_mixt_2 [Type],0,0,23
NA,decid_3_to_mixt_2 [Type],0,0,23
NA,mixt_1_to_mixt_2 [Type],0,0,23
NA,mixt_3_to_mixt_2 [Type],0,0,23
NA,conif_1_to_mixt_2 [Type],0,0,23
NA,conif_2_to_mixt_2 [Type],0,0,23
NA,conif_3_to_mixt_2 [Type],0,0,23
NA,decid_1_to_mixt_3 [Type],0,0,23
NA,decid_2_to_mixt_3 [Type],0,0,23
NA,decid_3_to_mixt_3 [Type],0,0,23
NA,mixt_1_to_mixt_3 [Type],0,0,23
NA,mixt_2_to_mixt_3 [Type],0,0,23
NA,conif_1_to_mixt_3 [Type],0,0,23
NA,conif_2_to_mixt_3 [Type],0,0,23
NA,conif_3_to_mixt_3 [Type],0,0,23
NA,decid_1_to_conif_1 [Type],0,0,23
NA,decid_2_to_conif_1 [Type],0,0,23
NA,decid_3_to_conif_1 [Type],0,0,23
NA,mixt_1_to_conif_1 [Type],0,0,23
NA,mixt_2_to_conif_1 [Type],0,0,23
NA,mixt_3_to_conif_1 [Type],0,0,23
NA,conif_2_to_conif_1 [Type],0,0,23
NA,conif_3_to_conif_1 [Type],0,0,23
NA,decid_1_to_conif_2 [Type],0,0,23
NA,decid_2_to_conif_2 [Type],0,0,23
NA,decid_3_to_conif_2 [Type],0,0,23
NA,mixt_1_to_conif_2 [Type],0,0,23
NA,mixt_2_to_conif_2 [Type],0,0,23
NA,mixt_3_to_conif_2 [Type],0,0,23
NA,conif_1_to_conif_2 [Type],0,0,23
NA,conif_3_to_conif_2 [Type],0,0,23
NA,decid_1_to_conif_3 [Type],0,0,23
NA,decid_2_to_conif_3 [Type],0,0,23
NA,decid_3_to_conif_3 [Type],0,0,23
NA,mixt_1_to_conif_3 [Type],0,0,23
NA,mixt_2_to_conif_3 [Type],0,0,23
NA,mixt_3_to_conif_3 [Type],0,0,23
NA,conif_1_to_conif_3 [Type],0,0,23
NA,conif_2_to_conif_3 [Type],0,0,23
NA,decid_2_to_decid_1 [Type],0,0,24
NA,decid_3_to_decid_1 [Type],0,0,24
NA,mixt_1_to_decid_1 [Type],0,0,24
NA,mixt_2_to_decid_1 [Type],0,0,24
NA,mixt_3_to_decid_1 [Type],0,0,24
NA,conif_1_to_decid_1 [Type],0,0,24
NA,conif_2_to_decid_1 [Type],0,0,24
NA,conif_3_to_decid_1 [Type],0,0,24
NA,decid_1_to_decid_2 [Type],0,0,24
NA,decid_3_to_decid_2 [Type],0,0,24
NA,mixt_1_to_decid_2 [Type],0,0,24
NA,mixt_2_to_decid_2 [Type],0,0,24
NA,mixt_3_to_decid_2 [Type],0,0,24
NA,conif_1_to_decid_2 [Type],0,0,24
NA,conif_2_to_decid_2 [Type],0,0,24
NA,conif_3_to_decid_2 [Type],0,0,24
NA,decid_1_to_decid_3 [Type],0,0,24
NA,decid_2_to_decid_3 [Type],0,0,24
NA,mixt_1_to_decid_3 [Type],0,0,24
NA,mixt_2_to_decid_3 [Type],0,0,24
NA,mixt_3_to_decid_3 [Type],0,0,24
NA,conif_1_to_decid_3 [Type],0,0,24
NA,conif_2_to_decid_3 [Type],0,0,24
NA,conif_3_to_decid_3 [Type],0,0,24
NA,decid_1_to_mixt_1 [Type],0,0,24
NA,decid_2_to_mixt_1 [Type],0,0,24
NA,decid_3_to_mixt_1 [Type],0,0,24
NA,mixt_2_to_mixt_1 [Type],0,0,24
NA,mixt_3_to_mixt_1 [Type],0,0,24
NA,conif_1_to_mixt_1 [Type],0,0,24
NA,conif_2_to_mixt_1 [Type],0,0,24
NA,conif_3_to_mixt_1 [Type],0,0,24
NA,decid_1_to_mixt_2 [Type],0,0,24
NA,decid_2_to_mixt_2 [Type],0,0,24
NA,decid_3_to_mixt_2 [Type],0,0,24
NA,mixt_1_to_mixt_2 [Type],0,0,24
NA,mixt_3_to_mixt_2 [Type],0,0,24
NA,conif_1_to_mixt_2 [Type],0,0,24
NA,conif_2_to_mixt_2 [Type],0,0,24
NA,conif_3_to_mixt_2 [Type],0,0,24
NA,decid_1_to_mixt_3 [Type],0,0,24
NA,decid_2_to_mixt_3 [Type],0,0,24
NA,decid_3_to_mixt_3 [Type],0,0,24
NA,mixt_1_to_mixt_3 [Type],0,0,24
NA,mixt_2_to_mixt_3 [Type],0,0,24
NA,conif_1_to_mixt_3 [Type],0,0,24
NA,conif_2_to_mixt_3 [Type],0,0,24
NA,conif_3_to_mixt_3 [Type],0,0,24
NA,decid_1_to_conif_1 [Type],0,0,24
NA,decid_2_to_conif_1 [Type],0,0,24
NA,decid_3_to_conif_1 [Type],0,0,24
NA,mixt_1_to_conif_1 [Type],0,0,24
NA,mixt_2_to_conif_1 [Type],0,0,24
NA,mixt_3_to_conif_1 [Type],0,0,24
NA,conif_2_to_conif_1 [Type],0,0,24
NA,conif_3_to_conif_1 [Type],0,0,24
NA,decid_1_to_conif_2 [Type],0,0,24
NA,decid_2_to_conif_2 [Type],0,0,24
NA,decid_3_to_conif_2 [Type],0,0,24
NA,mixt_1_to_conif_2 [Type],0,0,24
NA,mixt_2_to_conif_2 [Type],0,0,24
NA,mixt_3_to_conif_2 [Type],0,0,24
NA,conif_1_to_conif_2 [Type],0,0,24
NA,conif_3_to_conif_2 [Type],0,0,24
NA,decid_1_to_conif_3 [Type],0,0,24
NA,decid_2_to_conif_3 [Type],0,0,24
NA,decid_3_to_conif_3 [Type],0,0,24
NA,mixt_1_to_conif_3 [Type],0,0,24
NA,mixt_2_to_conif_3 [Type],0,0,24
NA,mixt_3_to_conif_3 [Type],0,0,24
NA,conif_1_to_conif_3 [Type],0,0,24
NA,conif_2_to_conif_3 [Type],0,0,24
NA,decid_2_to_decid_1 [Type],0,0,25
NA,decid_3_to_decid_1 [Type],0,0,25
NA,mixt_1_to_decid_1 [Type],0,0,25
NA,mixt_2_to_decid_1 [Type],0,0,25
NA,mixt_3_to_decid_1 [Type],0,0,25
NA,conif_1_to_decid_1 [Type],0,0,25
NA,conif_2_to_decid_1 [Type],0,0,25
NA,conif_3_to_decid_1 [Type],0,0,25
NA,decid_1_to_decid_2 [Type],0,0,25
NA,decid_3_to_decid_2 [Type],0,0,25
NA,mixt_1_to_decid_2 [Type],0,0,25
NA,mixt_2_to_decid_2 [Type],0,0,25
NA,mixt_3_to_decid_2 [Type],0,0,25
NA,conif_1_to_decid_2 [Type],0,0,25
NA,conif_2_to_decid_2 [Type],0,0,25
NA,conif_3_to_decid_2 [Type],0,0,25
NA,decid_1_to_decid_3 [Type],0,0,25
NA,decid_2_to_decid_3 [Type],0,0,25
NA,mixt_1_to_decid_3 [Type],0,0,25
NA,mixt_2_to_decid_3 [Type],0,0,25
NA,mixt_3_to_decid_3 [Type],0,0,25
NA,conif_1_to_decid_3 [Type],0,0,25
NA,conif_2_to_decid_3 [Type],0,0,25
NA,conif_3_to_decid_3 [Type],0,0,25
NA,decid_1_to_mixt_1 [Type],0,0,25
NA,decid_2_to_mixt_1 [Type],0,0,25
NA,decid_3_to_mixt_1 [Type],0,0,25
NA,mixt_2_to_mixt_1 [Type],0,0,25
NA,mixt_3_to_mixt_1 [Type],0,0,25
NA,conif_1_to_mixt_1 [Type],0,0,25
NA,conif_2_to_mixt_1 [Type],0,0,25
NA,conif_3_to_mixt_1 [Type],0,0,25
NA,decid_1_to_mixt_2 [Type],0,0,25
NA,decid_2_to_mixt_2 [Type],0,0,25
NA,decid_3_to_mixt_2 [Type],0,0,25
NA,mixt_1_to_mixt_2 [Type],0,0,25
NA,mixt_3_to_mixt_2 [Type],0,0,25
NA,conif_1_to_mixt_2 [Type],0,0,25
NA,conif_2_to_mixt_2 [Type],0,0,25
NA,conif_3_to_mixt_2 [Type],0,0,25
NA,decid_1_to_mixt_3 [Type],0,0,25
NA,decid_2_to_mixt_3 [Type],0,0,25
NA,decid_3_to_mixt_3 [Type],0,0,25
NA,mixt_1_to_mixt_3 [Type],0,0,25
NA,mixt_2_to_mixt_3 [Type],0,0,25
NA,conif_1_to_mixt_3 [Type],0,0,25
NA,conif_2_to_mixt_3 [Type],0,0,25
NA,conif_3_to_mixt_3 [Type],0,0,25
NA,decid_1_to_conif_1 [Type],0,0,25
NA,decid_2_to_conif_1 [Type],0,0,25
NA,decid_3_to_conif_1 [Type],0,0,25
NA,mixt_1_to_conif_1 [Type],0,0,25
NA,mixt_2_to_conif_1 [Type],0,0,25
NA,mixt_3_to_conif_1 [Type],0,0,25
NA,conif_2_to_conif_1 [Type],0,0,25
NA,conif_3_to_conif_1 [Type],0,0,25
NA,decid_1_to_conif_2 [Type],0,0,25
NA,decid_2_to_conif_2 [Type],0,0,25
NA,decid_3_to_conif_2 [Type],0,0,25
NA,mixt_1_to_conif_2 [Type],0,0,25
NA,mixt_2_to_conif_2 [Type],0,0,25
NA,mixt_3_to_conif_2 [Type],0,0,25
NA,conif_1_to_conif_2 [Type],0,0,25
NA,conif_3_to_conif_2 [Type],0,0,25
NA,decid_1_to_conif_3 [Type],0,0,25
NA,decid_2_to_conif_3 [Type],0,0,25
NA,decid_3_to_conif_3 [Type],0,0,25
NA,mixt_1_to_conif_3 [Type],0,0,25
NA,mixt_2_to_conif_3 [Type],0,0,25
NA,mixt_3_to_conif_3 [Type],0,0,25
NA,conif_1_to_conif_3 [Type],0,0,25
NA,conif_2_to_conif_3 [Type],0,0,25
NA,decid_2_to_decid_1 [Type],0,2,4
NA,decid_3_to_decid_1 [Type],0,2,4
NA,mixt_1_to_decid_1 [Type],0,2,4
NA,mixt_2_to_decid_1 [Type],0,2,4
NA,mixt_3_to_decid_1 [Type],0,2,4
NA,conif_1_to_decid_1 [Type],0,2,4
NA,conif_2_to_decid_1 [Type],0,2,4
NA,conif_3_to_decid_1 [Type],0,2,4
NA,decid_1_to_decid_2 [Type],0,2,4
NA,decid_3_to_decid_2 [Type],0,2,4
NA,mixt_1_to_decid_2 [Type],0,2,4
NA,mixt_2_to_decid_2 [Type],0,2,4
NA,mixt_3_to_decid_2 [Type],0,2,4
NA,conif_1_to_decid_2 [Type],0,2,4
NA,conif_2_to_decid_2 [Type],0,2,4
NA,conif_3_to_decid_2 [Type],0,2,4
NA,decid_1_to_decid_3 [Type],0,2,4
NA,decid_2_to_decid_3 [Type],0,2,4
NA,mixt_1_to_decid_3 [Type],0,2,4
NA,mixt_2_to_decid_3 [Type],0,2,4
NA,mixt_3_to_decid_3 [Type],0,2,4
NA,conif_1_to_decid_3 [Type],0,2,4
NA,conif_2_to_decid_3 [Type],0,2,4
NA,conif_3_to_decid_3 [Type],0,2,4
NA,decid_1_to_mixt_1 [Type],0,2,4
NA,decid_2_to_mixt_1 [Type],0,2,4
NA,decid_3_to_mixt_1 [Type],0,2,4
NA,mixt_2_to_mixt_1 [Type],0,2,4
NA,mixt_3_to_mixt_1 [Type],0,2,4
NA,conif_1_to_mixt_1 [Type],0,2,4
NA,conif_2_to_mixt_1 [Type],0,2,4
NA,conif_3_to_mixt_1 [Type],0,2,4
NA,decid_1_to_mixt_2 [Type],0,2,4
NA,decid_2_to_mixt_2 [Type],0,2,4
NA,decid_3_to_mixt_2 [Type],0,2,4
NA,mixt_1_to_mixt_2 [Type],0,2,4
NA,mixt_3_to_mixt_2 [Type],0,2,4
NA,conif_1_to_mixt_2 [Type],0,2,4
NA,conif_2_to_mixt_2 [Type],0,2,4
NA,conif_3_to_mixt_2 [Type],0,2,4
NA,decid_1_to_mixt_3 [Type],0,2,4
NA,decid_2_to_mixt_3 [Type],0,2,4
NA,decid_3_to_mixt_3 [Type],0,2,4
NA,mixt_1_to_mixt_3 [Type],0,2,4
NA,mixt_2_to_mixt_3 [Type],0,2,4
NA,conif_1_to_mixt_3 [Type],0,2,4
NA,conif_2_to_mixt_3 [Type],0,2,4
NA,conif_3_to_mixt_3 [Type],0,2,4
NA,decid_1_to_conif_1 [Type],0,2,4
NA,decid_2_to_conif_1 [Type],0,2,4
NA,decid_3_to_conif_1 [Type],0,2,4
NA,mixt_1_to_conif_1 [Type],0,2,4
NA,mixt_2_to_conif_1 [Type],0,2,4
NA,mixt_3_to_conif_1 [Type],0,2,4
NA,conif_2_to_conif_1 [Type],0,2,4
NA,conif_3_to_conif_1 [Type],0,2,4
NA,decid_1_to_conif_2 [Type],0,2,4
NA,decid_2_to_conif_2 [Type],0,2,4
NA,decid_3_to_conif_2 [Type],0,2,4
NA,mixt_1_to_conif_2 [Type],0,2,4
NA,mixt_2_to_conif_2 [Type],0,2,4
NA,mixt_3_to_conif_2 [Type],0,2,4
NA,conif_1_to_conif_2 [Type],0,2,4
NA,conif_3_to_conif_2 [Type],0,2,4
NA,decid_1_to_conif_3 [Type],0,2,4
NA,decid_2_to_conif_3 [Type],0,2,4
NA,decid_3_to_conif_3 [Type],0,2,4
NA,mixt_1_to_conif_3 [Type],0,2,4
NA,mixt_2_to_conif_3 [Type],0,2,4
